,Title,Content,Score
61,"""They are so unorganized and slow!""","✅ Trip Verified | 3 hours standing in line for boarding pass. Airline would not allow me to obtain boarding pass electronically. Then they said the flight was overbooked so my adult daughter got bumped from the flight. And yes, we used VeriFLY. My flight is now delayed for at least 30 minutes. They are so unorganized and slow! Getting a seat in advanced is not performed like other airlines. You have to wait even though I paid for it. Avoid this airline at all costs! Absolute worst!",1/10
62,"""This time it was good value""","✅ Trip Verified |  Usual BA economy trip, pleasant crew. Complimentary snack and water and small bar service which has reasonable prices. I am not a fan of the new NEO aircraft. Very cramped seating and uncomfortable. The armrests between seats are tiny thin and short in length and offer little support for two people and not enough for one. Aisle width seems smaller and going to the toilets at the back seems awkward. I have done a transatlantic on this aircraft with another airline and it’s not for me. Other than that BA still offers a good product that can be good value or over priced. This time it was good value.",8/10
63,"""no response to my emails/messages""","Not Verified |  I had booked a flight from Heathrow on Friday 27th August 2021 to fly to Manchester Airport. On arrival at Heathrow to check in, the British Airways staff informed me that I had booked both flight seats in my name by mistake. I offered to pay a fee to get the second seat changed to my sister's name but British Airways refused us to board and sent us home. However, the staff member who I spoke to at the desk promised to email us flight vouchers which I would get shortly so that I could fly at another time with BA since they do not offer refunds. I never received these flight vouchers. I have chased numerous times on the phone with BA staff who said that it was my error and that no flight vouchers would be sent to me. They have no record that a staff member spoke to me and promised these vouchers, they say I was just a 'no show' which is inaccurate. I have sent numerous emails to BA explaining what happened and asking form my promised vouchers. I have had no response to my emails/messages. One BA staff member on the phone said that I should track down the lady I spoke to at Heathrow and ask her if she remembers me. So ludicrous as I did not take her name and I doubt she would remember me since she sees hundreds of BA customers a day.",1/10
64,"""No refund for flights cancelled""","✅ Trip Verified |  No refund for flights cancelled 14 months ago but provided a ticket voucher valid until 30 April 2022. Tickets bought on Edreams on June 16, 2020 for a flight on July 7, 2020, from Geneva to São Paulo through London (British Airways), round trip. The LHR-GRU flight was cancelled without any explanation. I contacted both Edreams and BA a number of times in the last 14 months but they did not refund the 461 Euros that I paid.",1/10
65,"""piled into the bus and left""","✅ Trip Verified |  For this flight from Heathrow T5, passengers were piled into the bus and left for 30 mins at the terminal.  Very unhappy passengers - and when confronted the BA transport manager's response was ""sorry - we are still learning"". On arrival at the aircraft a gentleman who came on a wheelchair had no help with his luggage (I helped). Shame - since lounge service was very good. For the flight out from Munich BA had not (re) signed up to the now open lounge in Munich. To me looks like a systemic failing rather than a one off event.",2/10
66,"""Service was a little perfunctory""","Not Verified |  Aktion airport has only recently opened its new facilities and check-in and departure certainly seemed very clean and efficient, although admittedly it’s only having to cope with a low passenger load at present. It was good to see that check-in carefully scrutinised lateral flow certificates and passenger locator forms. Thanks to just 30 passengers on board, with more than half in Club Europe, the flight took off ahead of time. Service was a little perfunctory and the food was more reminiscent of economy than business class, with too much pre-packaging - the COVID effect, presumably. Arrival into T5 was also comfortably ahead of schedule, and although we were dreading many hours of queuing at border control, we were through the e-gates and collecting our luggage just 20 minutes after landing.",8/10
67,"""promised to give me compensation""","✅ Trip Verified |  My return flight from Antigua to London was cancelled 2 times. When I call to BA several times their computer system didn’t work and they couldn’t issue new ticket, as the result I had to pay airport price for baggage, as I couldn’t pay online without ticket. They promised to give me compensation of hotel stay, food and travel if complete online form. When I done it, I was asked to submit expenses, but link provided was to lost baggage expenses, not what I claimed. I replied that link is wrong and asked for correct link. They replied that they wouldn’t compensate anything.",1/10
68,"""It's not at all child friendly""","Not Verified |  I had a direct flight from London to Lahore and travelling with them was a nightmare. They did not have milk for my son's bottle, didn't even give warm water for his formula milk. No kids meals, no snacks. Meal portion size was tiny, 1/4 glass of juice. You literally have to beg them for drinks water etc.. Staff was so rude and treated us like trash. If you compare them with Emirates, I would give Emirates 10/10 and British airways 2/10. It's not at all child friendly. I will never travel with them again.",3/10
69,"""Service is non-existent""",✅ Trip Verified |  British Airways canceled my flight to London on June 3 due to COVID-19. It is July 23 and they still have not refunded my money. I've reached out to executives after trying the usual customer service path. Nothing has worked. They will not call me and will not provide me any resolution. They are blatantly ignoring emails asking for help. Avoid British Airways. Service is non-existent and they will keep your money. They are keeping almost $3000US of our money.,1/10
70,"""all about money with them""",✅ Trip Verified |  Tokyo to London. 12 hours without anything to eat because the sandwich I was given was inedible. There was no bar service and soft drinks were pitiful with orange running out after a matter of hours. Total waste of money having paid for Premium Economy. I am aware it was the beginning of the Covid19 issues but the situation was appalling and has been made worse by a total lack of follow up service from British Airways. Their attitude is unacceptable - it is all about money with them.,1/10
71,"""poor customer service""","Not Verified |  I booked a flight with them on 26 of March, but was unable to flight to the destination due to coronavirus restrictions. Since then I am trying to call them every day! I also filled out the form to request a refund but no reply in a week. Today I finally managed to spoke to the lady on the phone from their CS, but she just directed me to their website or she gave me another number. This number directed me to call again the first number I called already! After minutes of waiting again I spoke to another lady, she asked me for my reference and said she will transfer me to someone else, when she hang up on me!! Unbelievable!! So you can not even call them, and when you finally speak with someone no help at all! I never thought company like this have this poor customer service especially in situation like this with the corona virus.",1/10
72,"""still forcing people to fly to Madrid""",Not Verified |  Diabolical that British Airways are still forcing people to fly to Madrid when other airlines have cancelled their flights and the Foreign Office have advised against anything other than essential travel. What a way to treat their customers. If that is how they are going to treat people it is hardly surprising they are in trouble.,1/10
73,"""Food and drinks are expensive""","Not Verified |  Gatwick to Malaga. Nothing special, nowadays there's unfortunately not much difference between BA & Easyjet. Flight left Gatwick late & arrived in Malaga late. BA seats no longer recline. Food and drinks are expensive, their Cream Tea excludes tea. Lift your game BA, your product just continues to get worse.",4/10
74,"""crew was amazingly kind and lovely""","✅ Trip Verified |  Mexico City to Manchester via London. My plane from Mexico City to London was smooth. Entertainment was quite nice and so was the food; although I chose a window seat and was never informed it wasn't actually the window, but a wall! The crew was amazingly kind and lovely. They're always checking on you, and we even got a Magnum! Loved this airline for my first flight ever.",9/10
75,"""more than acceptable service""","✅ Trip Verified |  Phoenix to London. Since moving to the USA I've been flying BA more than in the past and overall, they provide a more than acceptable service. If you choose your seat in Club World carefully and the crew are in the right mood then they surpass expectations. The new menus and service offering are significantly better than in the past and the wine list more interesting. On this flight the crew were engaging and the food was good. Departed PHX early and arrived into LHR early where immigration and baggage took minutes. If you manage your expectations with BA, then you won't be disappointed with Club World.",8/10
76,"""never fly BA again""","Not Verified |  London to Los Angeles. Take off was delayed by 3 hrs (which we spent onboard) because of a dent to the door which needed inspection - sure maybe outside of their control. I was flying with my wife and two kids (2 & 4), sitting on bulkhead with 3 seats and using the baby bassinet facility. After take off we saw that the inflight entertainment service (for the whole section - not whole cabin) was not working. And we were sitting into an 11.5hr overnight flight with two little ones, meaning sleeping was not going to happen. We contacted the cabin crew who made zero accommodation. Sorry they said. During the flight the cabin crew stood in the galley behind the bulkhead talking loudly while the lights were dimmed, and kept slamming drawers as they moved things around. To cap it off, we landed at 10pm ET and they had left behind our baby car seat and stroller. We finally received them back 2 days later. Conclusion, never fly BA again.",3/10
77,"""Crew very friendly""","Not Verified | Keflavik to London Heathrow. Cabin crew were amazing. Weather was terrifying as we drove to the airport so we knew things were going to be tough. Expecting a delay and seeing other European flights were cancelled we expected the same but then were surprised to see our flight boarding. Snow in blizzard conditions, we were surprised but got settled in our seats. Crew very friendly and a long story short after 3 hours on the ground waiting for the di-icing machine we finally made our way to take off. All the staff were so relaxed and calm with all passengers including those who had connecting flights they sat with each one and personally looked at their options the BA online app to help them. Non-alcoholic drinks and snacks were provided during this time. The first officer kept us informed all the time that is was not BA fault that the de-icing machine was delayed so much eventually procedures done we were ready for take-off. How the pilot and team managed this in these conditions I will never now but it was a smooth take off an when through the clouds a smooth journey all the way back to Heathrow. Cabin crew provided excellent service. Being business we were lucky to have champagne and our meals were excellent. Veg shepherds pie and chicken curry both lovely. So just want to thank you BA. We know you get a lot of negative reviews but this is to say we can't fault you. Particularly the crew who made a real effort to talk to all of us. Well done.",10/10
78,"""onboard charity collection is inappropriate""","✅ Trip Verified |  Budapest to Billund return via London on 18 and 28 Dec. 2019. A320 aircrafts. Check-In in Budapest had a narrow timeslot of 2 hours before departure with long queues. I was not recognised as Oneworld elite flyer (hold a Gold Card with Qatar Airways) at check-in and had to struggle to get 2 bags accepted as inscribed luggage. I was denied lounge access as QR does not honour 3rd party lounges any more unless flying on QR. There is no Oneworld  lounge in Budapest, so BA uses Menzies Lounge who would not accept me unless I was with an entitled Oneworld card different from Qatar Airways. For BA I do not have status. In London granted access to any Oneworld lounge. Onboard, food and drinks with hefty price tags,  water is not free. Flights were full, but on time. I found that the onboard charity collection by FAs is inappropriate and intrusive. Luggage delivered perfectly. Return trips (2 legs) were both full flights but departed slightly early. Granted lounge access in Billund in the decent King Amlet and BA Galleries First in T3 in London. Loads of good, hot foods and good beers and wines. Onboard there is no IFE, no seat recline. Mediocre, not cheap. But the FFP is among the best in Oneworld and the gold status of BA is very rewarding.",6/10
79,"""Awful airline""",Not Verified |  Frankfurt to London with British Airways. Awful airline. Put me and my wife at opposite ends of the plane even though we booked together. Gave me middle seat even though many others were free. A childish airline which charges a premium and then goes out to make the journey difficult for you if you don't book biz class. Avoid.,1/10
80,"""excellent with service""",✅ Trip Verified |  Stockholm to London Heathrow. As always BA works excellent with service. On the ground and in the air. They still have a good gin aboard for a decent G&T and even if the meals in Business looks like the came from the 90's economy they taste great.,8/10
81,"""Will never fly BA again""","✅ Trip Verified |  Lisbon to London. I pay extra to check my bag, to ensure I am not using more than my share of overhead space. To have British Airways charge me 50 Euros to check a bag to my final destination, and then insist that my briefcase be put under the seat, in a cramped aircraft, to ensure there is room in the overhead bin for travelers too cheap to check their bags, is an insult. Will never fly BA again.",1/10
82,"""left a great deal to be desired""",✅ Trip Verified | London Heathrow to Lisbon. Mediocre. The flight was very smooth and arrived on time. Cabin service left a great deal to be desired and staff seemed to be just going through the motions. No bread roll was offered during meal service and despite requesting a glass of wine to accompany the meal this was not forthcoming and staff required a ‘nudge’ before it was delivered. Not a great Club Europe experience.,2/10
83,"""downgraded to premium economy""","✅ Trip Verified |  London to Cape Town. We had booked business class tickets a year in advance for a trip to Africa. I usually fly Star Alliance, but picked BA for a segment for better connection timing through London to Cape Town. This was a huge mistake. I had tried to reserve seats on BA website twice and was not able to do so. Then I tried to call BA twice and gave up after being on hold for an hour each time with no call back option. When we arrived today in London from Toronto at the connections desk, seven hours before our flight, we were told that business class was oversold and we would be downgraded to premium economy. BA’s representative told us that because we did not have reserved seats, we were at the bottom of the list for business class, and that loyalty customers would all have priority for seats over us, but we would still be welcome in the lounge, (as if this was a bonus). Then there was a problem for us to clear security to get to the lounge, since they could not print our boarding passes (due to the down grade). It took close to an hour to get settled into the lounge from the time we first arrived at the connecting desk. We asked to speak to a manager, but at each of our four interactions with BA staff we were told that they would get some to speak with us, giving the impression that they were trying to pass off unhappy customers as fast as they could. At one point I got visibly frustrated after the BA staff issuing our new boarding passes indicated that our down grade was voluntary, which it definitely was not! After two and a half hours BA customer service managers came to speak with us. They were the first ones who were actually apologetic and tried to address the situation from a customer oriented perspective. If British Airways think giving bulkhead seats in premium economy and basic lounge access to paying business class passengers is adequate customer service for a downgrade from a paid business fare on our upcoming overnight flight, I will not be booking flights on BA again.",1/10
84,"""three hours to get rebooking""","✅ Trip Verified |  Frankfurt to London. Flight attendants very kind when flying in. Return flight was canceled at London City Airport and it took almost three hours to get rebooking, hotel voucher and transportation arranged. That could be done far more efficiently. No water, nothing, no necessities.",1/10
85,"""glorified budget airline""",✅ Trip Verified | London to Athens. British Airways is a glorified budget airline. A 3.5-hour flight and back to Athens and no food or drinks provided. Ask for a cup of water and they charge you a ridiculous price. An M&S inflated price sandwich is the 'meal'. No entertainment options either. No USB charging on the seat as well. Any reputable airline for a flight of this length provides this options in 2019. Yet they charged full-service airline prices. So there is a mismatch. Flew Aegean on the same route and a full meal and drinks are provided.,5/10
86,"""appreciate your excellent service""","✅ Trip Verified |  Yesterday my husband and I decided to to come home from Rome earlier than the scheduled time at 8pm. When I rang BA in London, the customer service adviser was helpful and reassuring and able to change the the flight time to 3pm without having to pay extra. Onboard the flight, the steward gave me hot water and milk so that I can used my own preferred decaf tea and did not charge me. While waiting to get off the plane, I had a wonderful conversation with the BA staff who are so pleasant. I love flying with BA and we will continue to do so. We have booked our flight with BA next year. Thank you for taking good care of us and just to sat how much we appreciate your excellent service.",10/10
87,"""Very enjoyable flight""","✅ Trip Verified |  Vancouver to London. Great flight on the superb A380; in my opinion, the most comfortable and quiet aircraft flying at the moment. Outstanding in flight service from the crew. Attentive, polite and professional; the very best of British Airways service. Food well above average for this cabin - though breakfast could have been better. IFE excellent. The seat is comfortable with a good recline and supplied with a decent, plump cushion and an excellent quilted blanket. Very enjoyable flight. Highly recommended.",9/10
88,"""no different to a budget airline""",✅ Trip Verified | Flying London City to Geneva. The only plus was the Embraer E190 jet had a comfortable interior with plenty of leg room for an economy seat. Other than that BA now offers a basic no frills service that is no different to a budget airline. Yet it charges 'full service' prices!,3/10
89,"""Still recommended by me""","✅ Trip Verified |  London to Gothenburg. BA are getting a lot of bad press - deservedly so at present with strikes, IT glitches, baggage problems. However extreme cases will always be highlighted. Two recent flights on BA, and very happy with them. Flight to Gothenburg on A319-100, pushed back 25m late due to a potential technical issue, soon resolved and arrived at GOT only 15m behind schedule. Good crew and the Safety Announcement video was a hoot. Return to LHR on A320-232. On time departure and early arrival at T5. Again good crew. Will be flying with BA again in December (strikes permitting). Still recommended by me as the National Carrier.",9/10
90,"""trip has been really smooth""","Not Verified |  I had a stress free journey with my 8 yr old autistic son and 6 yr old girl from Chennai to London by British airways. The Chennai Ground Service Manager recogonised my sunflower lanyard and came forward to help me throughout the services right from pushing my trolley, screening the luggage, checking through the security without much stress and finally boarding the aircraft as the second person. I am stunned by the service and am so glad to know that they recognise and respect and help us for the hidden disability and for making our journey really really smooth. Thank you so much. Inside the aircraft the crew members did come forward and asked if I need any help, and another member did congratulate me for wearing the lanyard as the first person for him to see me with lanyard. I did even use the disabled way to clear my immigration at Heathrow airport. Over all i am happy to say that my trip with my kids has been really smooth with BA and Heathrow airport. #happyautism# Thank you",10/10
91,"""crew were very helpful""","Not Verified |  Inflight crew were very helpful, polite and caring. Though you can not call the in flight service as luxurious compared to some airlines, it was quite pleasant. The food and drink selection was pretty basic. However the ground staff especially at the check in counter in DXB and lost & found at London heathrow were rude and very unhelpful. I forgot to collect my suit which I had handed to crew member at the time of boarding. Upon approaching the BA counter, the personnel were not willing to help or register a lost and found complain.  Neither any empathy nor any willingness to help.",5/10
92,"""A shambolic airline""",✅ Trip Verified |  Malaga to London Heathrow . A shambolic airline. Rude and incompetent Iberia ground staff in Malaga. BA sent warning of the 2 hour delay just before the late boarding began - sophisticated IT setup they have! Club Europe meal remains a big cutback from 2017 despite what BA claim. Cabin staff were bored from the start and despite 4 serving in Club cabin the service was very poor. Arrived Heathrow at 23.45 and then sat waiting 10 mins for ground staff to show up.  Simply appalling trip and truly ripped off.,2/10
93,"""Staff  not in high standards""","✅ Trip Verified |  Calgary to London. Staff were not in high standards. Looked rushed and not polite, did not look professional enough. In our flight back to London staff were laughed and just chilled very loudly in back of the aircraft. There was not welcome snacks. We sat in the very last row and food choice ended. Only chicken was our option to have. Very sad and staff did not care about this situation.",3/10
94,"""worst business class experience""","✅ Trip Verified |  Mykonos to London flight delayed and waiting to depart. They are not on time, be prepared to miss your connections, take off 2 hours late,. The staff is some of the worst I have had on airlines. You may be stuck on the runway and they won’t offer you any water.  The worst business class experience I have had.",1/10
95,"""don’t waste your money on an overnight flight""","✅ Trip Verified | Premium economy don’t waste your money on an overnight flight! Going out is acceptable but the night flight we had was a disgrace! The food (I use this term lightly) wasn’t fit for dogs on our flight, it was salmon we think as it didn’t taste of anything, a meat of some kind but was too tough to stick a fork into let alone eat it. The veg tasted burnt, bread roll was ok. (Not really a saving grace). One cup of tea or coffee at breakfast and don’t bother asking what was in the box left on our table! I didn’t bother trying it. The look on other people’s faces was good enough for me to know don’t bother! Which in comparison to the outbound flight (London to Orlando) was worlds apart, greeted with a drink which was the first of many, dinner was nice, the steak edible, veg cooked just right and dessert was nice with plenty of drinks! Inflight entertainment was good even though there was supposed to be WiFi but couldn’t log on so saved some money there. I really thought this was going to be the best way to travel. Oh a broken seat for one of our party was a bit disappointing, homeward bound and the inflight entertainment seem rather lacklustre which leads me to think it was an older plane. But that really shouldn’t happen. What is not told when booking, homeward flight on the top of your ticket if you have TSA PRE you don’t have to join the massive queue, look for pre entered TSA line that’s the one that’s empty cause they tell no one about it.",7/10
96,"""outstanding courtesy and service""","✅ Trip Verified |  I would like to praise the outstanding courtesy and service I received from the BA cabin crew members during my flight BA0011 from London Heathrow to Singapore on 25 June. The cabin crew were both friendly and attentive to their passengers needs, enabling them to relax & enjoy their flight. I feel very proud that British Airways continue to train their staff to such a very high standard, it really is a privilege to fly British Airways.",10/10
97,"""Terminal 5 is the most bizarre""","✅ Trip Verified |  London to Gothenburg. Unique procedures that are not adding any order but create a lot of mess. Extra visa checks, passport checks, separate queues, additional controls. Heathrow Terminal 5 is the most bizarre.",3/10
98,"""cramped seat with no lights""","✅ Trip Verified |  Phoenix to Amsterdam via London. It was 10 hrs on a delayed flight, in a cramped seat with no lights, no call light. No entertainment of any sort, and food I found exceptionally bad. The B747 that was terribly maintained. The offer of 20.GBP for compensation is insulting and further exemplifies a lack of concern for your passengers comfort and safety.",4/10
99,"""first class experience""","✅ Trip Verified |  London to Delhi. A truly first class experience from check in to landing. I am a frequent flyer with BA and have not always had an amazing experience, this one was. Check in was easy and swift and the Concorde Room was excellent. The flight itself was wonderful, while I accept it isn’t the best first class cabin in the skies the service is second to none. The cabin crew were friendly greeting us by name and showing us personally to our seats. Throughout they ensured we were very well looked after without them being overbearing. New soft product is very good and food definitely much improved.",8/10
100,"""comfort was very bad""","✅ Trip Verified | Inverness to Auckland via Singapore with British Airways. Service was very good but comfort was very bad, for a 14 hour I had no more leg room than I did for an hour flight. I was uncomfortable and as a regular flyer I have used other airlines that provide much more space for long haul flights.",3/10
101,"""check in my bag at the gate""","✅ Trip Verified |  London to Aberdeen. Before boarding the flight I was forced to check in my bag at the gate because apparently the flight was full and I was boarding in Group 5. I was traveling with the permitted allowance and discussed with the lady at the Boarding Gate. I saw people boarding with Tax free bags on top of the other bags. Being almost the last on the plane, there was free spaces to accommodate bags. I was not happy because I had the permitted allowance.",1/10
102,"""Thanks to the crew""","✅ Trip Verified |  London City to Zurich, I fly this route a lot, around 8 times per year, The flight was delayed initially by an hour, I was kept up to date via the app so I was not disappointed. Around 45 minutes into the flight one of the crew member came over with a card in his hands wishing me a Happy Birthday followed by a bottle of Champagne, Brandy etc, this was totally unexpected, it made my day. Thanks to the crew.",9/10
103,"""a very good overall service""",✅ Trip Verified |  Dublin to London Heathrow. British Airways offered a very good overall service on this flight. I booked online and found that process very easy. The caveat was not being able to select the seat I wanted ahead of travel without paying another fee. The check-in lady was very friendly and helpful and gave a good account of herself. The flight departed on-time and the captain made frequent announcements. Within the previous two weeks I had flown with BA twice within Europe and this flight was by the best of the 3 thanks to the staff. The flight was relatively short but well managed with a nice drop down map and staff visibly make a real effort. One curiosity was the staff handing out UK landing cards The flight was punctual and reliable.,7/10
104,"""onboard service was abysmal""","✅ Trip Verified |  Bridgetown to London Gatwick. Paid for a Business Class flight. The onboard service was abysmal. No refreshments offered on boarding. Dinner took three hours to be served (on a night flight). My Husband had to go to the Galley twice for his dinner requests, he’d been forgotten. I requested ‘Express’ service, which didn’t happen. Website advertises ‘Premium Levels of Service’ and ‘Every Journey Unique and Unforgettable.’ The service was dreadful, but the journey was definitely unforgettable for the wrong reasons. Don’t waste your money with this airline, you don’t get what you pay for and they try to compensate by offering loyalty points, and telling you that you don’t pay for the Service, that the extra costs are for taxes, the Lounge and extra loyalty points. All BA could respond with was a goodwill gesture of loyalty points. Really?",3/10
105,"""Service on board was excellent""","✅ Trip Verified | The First Class zone at Heathrow T5 and the Concorde Lounge are very good. Service on board was excellent in both directions. The cabin layout is unimpressive and the food is nothing to write home about. The screen is small, with poor resolution. I enjoyed the flights in both directions, mainly because of the service. This First does not compare well with that of Middle Eastern and Asian airlines, but BA business class is so poor, I either fly economy or (when I am very lucky) try to fly First.",8/10
106,"""No online check-in available""","✅ Trip Verified |  Cologne to Gatwick in economy class with an silver status BA card. No online check-in available.  BA website suggests passenger to arrive at the airport 3 hours before flight departure but airport check-in (the only available option) starts 2 hours before departure. No lounge available (there is a lounge in the terminal open to other airline customers, except BA). No priority boarding for Business and elite level passengers. Boarding the plane by bus. Not even free water on board in economy.",2/10
107,"""business class is just coach class""","✅ Trip Verified |  New York to Venice via London. Staff have been nice when around but aircraft, food, assistance and information all deplorable. Booked Business class. First flight, overnight from JFK to Heathrow - quick, mediocre food service then gone. Chair is set up so I’m staring at a stranger, it’s uncomfortable and difficult to maneuver with no instructions. Didn’t wake me for breakfast, not sure why they had me fill in a form for when I wanted to be woken up. No instructions for the transition between BA flights. Now I’m on the flight from Heathrow to Venice, no offer of coffee, water but worse, business class is just coach class, no extra leg room, just 3 seats with the middle one blocked out. Person in front of me put their seat back and my knees are in my chest. I didn’t pay for international business class to get stuck in uncomfortable seats for 2 long flights. I won’t fly BA again.",2/10
108,"""negligent in the extreme""","✅ Trip Verified | San Diego to London. From the moment that I boarded this flight (due to take off at 19.25), the crew had one interest and one only - to get the cabin lights off, which they duly achieved two hours later. As a consequence, the service was negligent in the extreme. This was a Club World ticket - so expensive and I looked forward to a decent level of service. However, I wasn't offered champagne on boarding, wine with my meal or coffee and port after my meal. I complained to BA when I got home but they weren't interested and I was met with a barrage of corporate platitudes. This flight was a disappointing end to what had been a great trip to the US & Mexico and has left me with a very poor view of the airline.",5/10
109,"""cabin staff were fantastic""",✅ Trip Verified |  London to Tokyo Haneda. My wife and I treated ourselves to first class flights for our holiday to Japan with the help of my Avios and a BA Amex companion voucher. We were very excited about flying first class and the dedicated check-in area at Heathrow was great. We boarded on time and the cabin did not disappoint. We had very grand seats with lovely surroundings. The cabin staff who looked after us were fantastic and really took the time to get to know us and understand what we wanted. The food and alcoholic drinks were great. I went for beef main course followed by the amazing chocolate and toffee pudding. I was ready to sleep after all that food but saw that there was lots of choice and a large screen for the IFE. My wife and I both said afterwards that it didn't feel like a long-haul flight because the time passed so quickly and comfortably. My only complaint is that the cabin was uncomfortably hot while we were cruising which made it harder to sleep.,9/10
110,"""now struggle to see the value""","Not Verified |  I've always favoured British Airways and will always try and choose to fly with them, which is mostly decided by flight times for my business travel. I have always found it better value over the cheaper airlines via their additonal benefits like early check-in and on-flight catering, for economy. However BA have stripped both the above perks. I now struggle to see the value, and put their offering almost beside that of the likes of Easyjet, yet you pay almost double. Then today I flew back from Denmark with SAS, and it was amazing and made BA look cheap. Not only do you get a good meal on board, you get free drink, can charge your electronics and get wifi (for only 2.9 Euros!). Outstanding.",4/10
111,British Airways customer review,"✅ Trip Verified | Copenhagen to Amsterdam via London Heathrow with British Airways. There was problems at check in and a lot of people had to run to make the flight. But the attitude and welcoming hospitality of the crew made me forget that and I enjoyed the flight. The seats were nice and comfortable and the aircraft fresh. During the second flight from LHR to AMS, the expectations from the first flight were fulfilled and we had a captain that knew most of the passengers were frequent fliers and made jokes only frequent fliers would understand. Like how the taxi from Polderban is almost as long as the flight itself.",10/10
112,"""had a great experience""","✅ Trip Verified |  
Venice to London City. Really we had a great experience with British Airways. We enjoyed very much flying with British Airways. Lovely staff and great service.",10/10
113,"""my flight was canceled""","✅ Trip Verified |  London to Berlin scheduled for 21st December. On approach to the airport, I got a message saying that my flight was canceled. No explanation was given. As I arrived at the airport, staff acted very confused and said their rerouting center is closed for the evening due to issues, and if I wanted to travel in the next days ahead of Christmas I should book my own travel with another airline or train company (e.g. Eurostar). My costs would  be reimbursed. The airport staff also said no further help from British Airways is available on the day to due airport issues. I felt the only way out was to rebook myself with a different airline for a hefty +300 GBP fare for a short haul flight for the next day. As it was Christmas, prices were very high. After I arrived at my destination, a lengthy exchange of messages with British Airways started, and British Airways said in the end they do not compensate costs for rerouting with a different airline (opposite to what their airport staff said on the day of cancellation).",1/10
114,"""not going to receive refund""",✅ Trip Verified |  Our flight from Seattle to London in November 6th was canceled due to technical problems. After waiting at the airport for 9 hours and staying in the line for 4 hours the BA associate couldn’t find us any immediate flight. They offered us a flight that would arrive in London late November 8th. It would take us 16 hours. Since the purpose of trip was to present a paper in a conference in November 8. I would have missed my presentation by the time we would arrive. My trip was supposed to be 4 days so by the time of arrival I had to return in less than two days. They advised us to cancel the flight and promised to refund our flight tickets as well as the expenses for our accommodation since it was to late to cancel our booking. I filed a claim online based on their instruction.  The customer relation phone number is disconnected. In fact the automatic voice mail says “please don’t chase a call”! The website link they refer to for tracking the claim has an auto message that the link dose not exist. After 1.5 months stressful attempt to connect with customer relations they finally responded by email to tell me that we are not going to receive any refund from them.,1/10
115,"""unimpressive amenities and service""","✅ Trip Verified |  Cape Town to London. Very unimpressive amenities and service. Unless you have a bulkhead seat, there is no way to leave the seat without either stepping over someone or having them step over you. There is a small storage drawer but nowhere to stow even small carry-on baggage except in the bin above. The food was at best pedestrian and no wine was served with dinner except by request and then it took ages to get. My husband got no cutlery on his tray and couldn't get the attention of steward to rectify (I gave him one of the two sets on mine). I, on the other hand never got the main course. I finally went and asked and it was delivered cold and over-cooked.",2/10
116,"""Not exactly best of British""","✅ Trip Verified |  Manchester to London. The bag drop process took an hour even though I had checked in already. The staff offered little apology, explaining that there was a big group ahead and they could do nothing about this. Staff on the flight were clumsy and rude - one attendant dropped a water bottle on my shoulder and offered the merest apology. Another flight attendant didn’t bother to ask customers in the last rows if they wanted refreshments. Not exactly best of British, and I’ll certainly not be recommending!",3/10
117,"""wonderful crew""",✅ Trip Verified | Stockholm to London. Standard configuration on short haul European flights. Business class still 3 seats each side of the isle. Middle seat fitted with a tray. Had a wonderful crew with 2 super professional stewards in business. Drinks served with a smile and the food also. Food reminding of what was served in economy 10 years ago when there still was free there. The best part of the meal was the cheese and pudding.,5/10
118,"""ditch this non responsive airline""","✅ Trip Verified |  Gatwick to Orlando. Stains on the seat, cotton buds in the seat well. Disgusting and had to force them to clean. No entertainment on board, it was not functional. Internet available at three times Emirates price and twice AA flight and speed that won’t achieve streaming. When I complained to BA they told me I couldn’t communicate with the CEO but I could connect with their customer relations. I have been Gold on BA for thirty years and it’s time to ditch this 
non responsive airline.",1/10
119,"""lost my clubs for 7 days""","✅ Trip Verified |  London to Toronto. 14 day trip to play golf with my Father, and BA lost my clubs for 7 days. Dealing with BA lost luggage/customer service was brutal, they had no idea where my clubs were or how long it would take to retrieve them. I had packed all my clothes with my clubs. First days of trip were to buy clothes and essentials. Flight home from LHR-YYZ was an old 777 with a misplaced seat cushion, and a broken seat that wouldn't stay upright. The IFE system badly needs upgrading, and no power ports at the seats - grueling 7.5hr flight. As bad as I thought Air Canada was they are light years ahead of BA.",2/10
120,"""crew was very friendly""","✅ Trip Verified |  London to Singapore. It was a wonderful flight.  I was lucky having a 2-seats-row for my own on the upperdeck, but that was only the last criteria to make the flight perfect. The crew was very friendly and the food was the best I've had on an airplane. If you fly the A380 in economy, book seats in the upperdeck. Best seats on the plane: 83A or 83K.",9/10
